param Assets := 10;
param Scenarios := 12;

 param Return:       1 2 3 4 5 6 7 8 9 10 11 12    													:=
1   0.004	-0.025	0.009	0.012	0.047	-0.019	0.006	-0.037	0.025	0.021	0.017	0.019
2	0.014	0.0		-0.039	0.016	-0.006	0.07	-0.021	-0.022	0.019	0.025	0.054	0.04
3	0.001	0.006	0.005	0.019	0.016	0.057	-0.052	0.027	0.039	0.0		0.011	0.002
4	-0.012	-0.021	0.062	0.036	-0.002	-0.038	0.015	-0.003	0.024	0.012	0.048	-0.007
5	-0.043	0.005	0.023	0.0		0.023	0.04	0.034	0.029	-0.013	-0.04	0.011	0.003
6	0.015	-0.027	-0.01	-0.027	0.002	0.038	0.056	-0.004	0.08	0.001	0.013	0.026
7	-0.001	0.011	0.056	-0.024	0.019	-0.048	-0.015	0.019	0.062	0.023	0.002	-0.017
8	0.039	0.03	0.003	-0.004	0.016	-0.021	0.003	0.018	-0.026	-0.022	0.026	0.073
9	0.017	0.02	-0.024	-0.004	0.019	0.039	-0.03	0.025	0.021	0.054	-0.011	0.056
10	0.108	-0.003	0.061	0.008	0.024	-0.037	-0.013	0.053	-0.009	-0.021	0.026	-0.009		;
